Country   Zone    Prior. mw Econ. mw
AU        5	      20  	    20 
AT        1	      30        30 
BE        1       30        30 
BR        5	      30  	    30 
CA        4	      30  	    30 
CN        5	      30  	    30 
DK        1       30        30 
FR        1	      30        30 
DE        1	      30        30 
IN        5	      20  	    20 
IT        1	      30  	    30 
JP        5	      30  	    30 
NL        1       30        20 
NZ        5	      30  	    30 
PL        2	      30  	    20 
PT        2       30  	    30 
RO        3	      30  	    30 
RU        3	      20  	    20 
ES        2       30  	    30 
SE        2	      30  	    30 
TH        5	      30  	    30 
TR        3	      30  	    30 
UA        3	      20  	    30 
GB        1	      30  	    30 
US        4	      30  	    30 
